sl.no.,rainfall,spi_1
477,168.75,0.84
478,121.29,0.59
479,5.27,-0.92
480,0.00,0.18
481,0.00,0.15
482,5.27,-0.92
483,0.00,-0.14
484,14.26,-0.55
485,78.12,0.30
486,133.57,0.66
487,284.63,1.31
488,182.91,0.91
489,276.47,1.28
490,23.14,-0.35
491,41.33,-0.07
492,25.18,-0.31
