Original Signal,Approximation,D 1,D 2,D 3
-1.199999999999999956e-01,3.123758440512736656e-01,-2.954198751856160210e-01,-4.235634394853077245e-02,7.189854005104027168e-01
4.699999999999999734e-01,2.919198142147847452e-01,1.492512406842094741e-01,4.463289537336040946e-01,7.459422818210844630e-01
4.000000000000000222e-01,2.730977481328769607e-01,-2.012311297332240994e-03,5.492945327698720570e-01,5.627290471868218180e-01
2.200000000000000011e-01,2.586572069552515729e-01,6.121514019245288124e-02,1.194103068211674473e-01,2.373766247701940557e-01
-9.200000000000000400e-01,2.492714361225577269e-01,-9.880311991015151840e-02,-4.785057400234029590e-01,-1.280234932502149481e-01
-1.050000000000000044e+00,2.478306253896310207e-01,3.776186802355033928e-02,-4.810918477895514966e-01,-4.362890460612222632e-01
-1.479999999999999982e+00,2.537562220868489482e-01,-1.173988152190713480e-01,1.378721293790772795e-01,-6.195617361369777365e-01
-6.700000000000000400e-01,2.681689187221813486e-01,2.884039176376583247e-01,4.523957245648177472e-01,-6.502654587857664703e-01
4.600000000000000200e-01,2.892568105377238963e-01,-2.057390998660885983e-01,9.242539643400732308e-02,-5.340761741033446253e-01
1.320000000000000062e+00,3.167923533154098914e-01,-8.458456307715798983e-02,-2.166565670279435030e-01,-2.988989034046241056e-01
1.379999999999999893e+00,3.475832387828121650e-01,2.031513627864925398e-01,-9.055012772604097149e-02,1.090339431924192484e-02
1.030000000000000027e+00,3.788824113105932478e-01,-6.169611717483858282e-02,-2.178943241042577070e-02,3.374855936850196803e-01
6.800000000000000488e-01,4.071492144011374381e-01,-1.101920213250546926e-01,-1.295291489749372249e-01,6.079247870932490416e-01
-9.200000000000000400e-01,4.289629677296548649e-01,1.627074928109309981e-01,6.569423883118837015e-02,7.457949286077468765e-01
-2.600000000000000089e-01,4.415456530265071677e-01,-9.849341476755660296e-02,3.990722890021445868e-01,6.922226986873564192e-01
-2.899999999999999800e-01,4.414258024519093770e-01,4.702073582037857163e-02,1.731944693828343096e-01,4.329023249640026050e-01
-3.900000000000000133e-01,4.276579105551688853e-01,-1.224220357925387415e-01,-4.080446954996182485e-01,1.919985401291803354e-02
1.799999999999999933e-01,3.986731087742429458e-01,1.200610072843201759e-01,-4.409000188452665281e-01,-4.372384907308584645e-01
-2.899999999999999800e-01,3.563193411942038868e-01,1.909431958113288474e-01,1.014634648639014119e-01,-7.939477805967715129e-01
-6.700000000000000400e-01,3.018776782664244762e-01,-4.230882896143364214e-01,3.975381033931053576e-01,-9.267763665454364919e-01
1.229999999999999982e+00,2.393469939639983890e-01,1.505196996576795010e-01,1.882638864609492979e-01,-7.792397748674733116e-01
1.360000000000000098e+00,1.724812628463922859e-01,1.459502559634232588e-01,-7.399584929745861572e-02,-3.862579880928250775e-01
1.530000000000000027e+00,1.069032877537132303e-01,1.157364029455464349e-01,-1.701003889421558446e-01,1.330056136730131677e-01
6.199999999999999956e-01,4.840519528334884941e-02,-4.324987000834176198e-01,-1.902232939141466073e-01,6.154155625684478714e-01
1.199999999999999956e-01,1.762641468968988113e-03,1.551871373078937966e-01,-7.105711060585451211e-02,9.116213071235998999e-01
2.999999999999999889e-01,-2.830219647948604283e-02,2.528790470078374764e-01,1.873651281393738655e-01,9.337361163020072574e-01
-7.000000000000000666e-02,-3.932621607533604013e-02,-1.583537771374337322e-01,2.813005706044538479e-01,6.843945523404399989e-01
-9.200000000000000400e-01,-2.828842053926148084e-02,-9.496994957712379115e-02,4.233207181195757646e-02,2.501899025469768167e-01
-1.060000000000000053e+00,3.574722539239252005e-03,6.370687141181903546e-02,-2.749997146702057305e-01,-2.324364004315693788e-01
-9.200000000000000400e-01,5.521069676651246816e-02,-2.704469914470254005e-02,-3.160796282377713595e-01,-6.218213349757423236e-01
-9.200000000000000400e-01,1.217493305906803408e-01,1.868538290789947542e-01,7.078601403631413352e-03,-8.185147410578016425e-01
