Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-1.540000000000000036e+00,1.473746351946566835e-01,8.529328524455037641e-02,7.532193472546171442e-01,-7.779863884731827994e-01,-3.994411827011553062e-01,-4.028103321259642877e-01,-1.075387247054356149e-01,-6.999604339075520681e-03
-2.999999999999999889e-02,1.497551067218111653e-01,-7.759373843449137720e-01,7.787906723295867639e-01,-1.259828884060489429e+00,-3.868642461033405811e-01,-5.044192186026074110e-01,-1.243042217032248042e-01,-2.205785841241653458e-02
-6.600000000000000311e-01,1.513930647728070344e-01,5.121234122634725772e-01,3.322014505221579928e-01,-1.361055041934559950e+00,-2.860137200321718476e-01,-5.746510271622684574e-01,-1.387697861174421177e-01,-3.876290854336721103e-02
-4.299999999999999933e-01,1.527559494853375777e-01,-9.787187078897957582e-02,-4.220663999482667239e-01,-9.748539103349749269e-01,-1.044066223713320529e-01,-5.751336670211302238e-01,-1.523513817733086473e-01,-5.832023537753649317e-02
-1.530000000000000027e+00,1.519400623702297226e-01,3.755079849446715801e-01,-6.647193703856344449e-01,-3.274456959595797301e-01,1.064463611754661310e-01,-5.528836400546435215e-01,-1.718667948088064557e-01,-7.204893881103544007e-02
-4.299999999999999933e-01,1.488869950362834149e-01,-6.296105253231153442e-01,-1.010488191913790912e-01,3.944486690362336567e-01,3.658406000025485327e-01,-5.211554429734116534e-01,-1.905063129332241201e-01,-7.772188550946743102e-02
-2.999999999999999889e-02,1.426870937300872277e-01,3.774047358083548742e-02,3.378741136076673368e-01,8.701545658100685587e-01,5.379667968193757588e-01,-5.004260375301121666e-01,-2.042844253996387027e-01,-7.144261477646389469e-02
-2.200000000000000011e-01,1.364289584492780205e-01,2.655431927204814357e-01,1.730805276598929021e-02,8.981536987306664166e-01,6.007924108671751640e-01,-4.624244555728626027e-01,-2.125190116638854820e-01,-6.196834879068190138e-02
7.900000000000000355e-01,1.314683294765035260e-01,-3.558188740771268677e-01,-4.170619989762905933e-01,6.559262055965906502e-01,5.191051377707517345e-01,-4.129669942438933816e-01,-2.220951366779628788e-01,-5.341004773259552807e-02
4.899999999999999911e-01,1.287348183197817575e-01,3.375656986040720398e-01,-2.659718445144944043e-01,2.787302746199997738e-01,3.301064355401960304e-01,-3.698701771215894274e-01,-2.295568144969690749e-01,-4.516569785196790365e-02
3.300000000000000155e-01,1.282819729181984836e-01,7.206243060694828007e-02,-1.037123180953300333e-01,1.990648992867977141e-02,9.339243747157122133e-02,-3.274508464097681815e-01,-2.335394254106397671e-01,-4.002139727674220576e-02
-2.999999999999999889e-02,1.282836539975042711e-01,5.549038105676656896e-02,-6.223119374419088662e-02,-1.304405887317401369e-01,-1.197063647644783790e-01,-2.683616195655836312e-01,-2.137757417145613181e-01,-3.771878926348966321e-02
-2.200000000000000011e-01,1.291655054579275153e-01,-3.975480947161669221e-02,2.762879978802414427e-01,-2.661369648691648826e-01,-2.689656674448388518e-01,-2.167463523185509944e-01,-1.749544777891435809e-01,-4.253673029351899559e-02
6.400000000000000133e-01,1.309253124201812946e-01,-3.741377481542537686e-01,4.422563046840751189e-01,-3.677786506152125323e-01,-3.992663540300490088e-01,-1.910381460117636099e-01,-1.303761705093293699e-01,-5.862979023346968910e-02
-2.999999999999999889e-02,1.340684811264955256e-01,4.264230484541326471e-01,1.910876803329359941e-01,-5.741225422370690445e-01,-4.483029621774740625e-01,-1.750592067485205183e-01,-8.640090929119324803e-02,-7.887756558825609332e-02
