Original Signal,Approximation,D 1,D 2,D 3,D 4
-1.949999999999999956e+00,1.418239847948267462e-01,-3.818250202452446590e-02,6.338627996582140156e-01,9.064634775578421788e-01,-8.788919617618991265e-02
-1.649999999999999911e+00,1.247199637182975357e-01,1.246406309122583683e-03,3.757495308607568529e-01,1.150781580342086080e-01,-7.062141940597412015e-02
-5.400000000000000355e-01,1.144483431037804089e-01,4.830936779817515681e-02,-1.352293314892202836e-01,-6.686892045617451874e-01,-1.200879434131787646e-02
1.199999999999999956e-01,1.123263494876027419e-01,8.830739990279751206e-03,-3.434509713593042468e-01,-1.234052671445811544e+00,7.243074532074122995e-02
5.899999999999999689e-01,1.177150049080372962e-01,-1.462363423951294240e-02,-2.683101666994673340e-01,-1.462550861183174122e+00,1.574040171802781052e-01
8.499999999999999778e-01,1.283553995820382043e-01,-5.647497806734545073e-02,-1.768528216770172135e-01,-1.329947956538961140e+00,2.153017842122272874e-01
1.010000000000000009e+00,1.412838519569748763e-01,3.217684236966641270e-02,-1.648323902396685858e-01,-8.758996492286398317e-01,2.246087707954239343e-01
9.599999999999999645e-01,1.535619473395748169e-01,-4.707466543147911103e-02,-9.239615976950613097e-02,-1.980887058166584114e-01,1.779074923355065119e-01
6.600000000000000311e-01,1.628373851280942308e-01,6.444309862056958604e-02,2.030284391004074929e-01,5.453704433078727654e-01,8.459679723805928198e-02
2.200000000000000011e-01,1.675994976594895325e-01,1.158158838065029006e-01,4.777762713385004245e-01,1.164144234088934082e+00,-3.436560871135451584e-02
-3.699999999999999956e-01,1.672538464491272192e-01,-1.670060333361303717e-01,3.358549368449089689e-01,1.475316373708166262e+00,-1.547869645605844668e-01
-1.040000000000000036e+00,1.624075082871178355e-01,-9.941971752735001902e-03,-6.414128350461169303e-02,1.375207740464430284e+00,-2.549873002264734789e-01
-1.600000000000000089e+00,1.548831572184243277e-01,4.059383024556520447e-02,-2.571872135753087707e-01,8.973454311927557825e-01,-3.186198063907617617e-01
-1.250000000000000000e+00,1.471707735093241987e-01,3.750372869413966942e-02,-1.787770659414106567e-01,1.875085137145297010e-01,-3.377595064500563682e-01
-4.000000000000000222e-01,1.415622518103990257e-01,-2.105107893254017787e-02,-1.132403180888589961e-01,-5.467257275939950700e-01,-3.135767211255499065e-01
4.099999999999999756e-01,1.392176391245935896e-01,-2.154205059979163311e-02,-2.025482928340473499e-01,-1.107377244060823829e+00,-2.551512953538856432e-01
8.100000000000000533e-01,1.396410798468851189e-01,3.219170303212463141e-02,-2.164941946329761724e-01,-1.371507948195321847e+00,-1.791356589885362560e-01
9.699999999999999734e-01,1.410476644167157900e-01,1.164080072119330796e-02,7.540064421246057969e-02,-1.289817213378006588e+00,-1.060129422341286320e-01
9.599999999999999645e-01,1.412156429002872360e-01,-5.202873891315738797e-02,4.051695072651922414e-01,-8.854231798179931223e-01,-5.222699440228614071e-02
9.000000000000000222e-01,1.381853891396711276e-01,-6.763926978576240145e-02,3.833928080830537599e-01,-2.568676551066464420e-01,-2.423701141789776081e-02
5.699999999999999512e-01,1.308100209843100215e-01,1.307869256942021940e-01,1.064258000274122540e-01,4.478697935859728974e-01,-1.747024352495075289e-02
0.000000000000000000e+00,1.188994561530536953e-01,3.532457972506193589e-02,-1.307798236685705773e-01,1.044381114225518603e+00,-1.727371004002243443e-02
-7.399999999999999911e-01,1.031937454385105646e-01,-5.925177547121540655e-02,-2.307897744213721347e-01,1.356492067871462925e+00,-5.963135928984979704e-03
-1.310000000000000053e+00,8.558322650272549847e-02,-6.665676729935259004e-02,-1.668780219530535125e-01,1.293818526054864693e+00,2.735344547781018085e-02
-1.600000000000000089e+00,6.898764437242951852e-02,2.377880397699878509e-02,2.132175285264640771e-02,8.726188197627726684e-01,8.523635277948722611e-02
-1.510000000000000009e+00,5.674865297904517492e-02,2.811468646664918095e-02,1.229263773776597263e-01,2.143693314302409503e-01,1.629379509134180892e-01
-9.200000000000000400e-01,5.164169088545912667e-02,3.435459578402379199e-02,-1.283566868013192447e-02,-4.855732580036875023e-01,2.486227940502188927e-01
-1.900000000000000022e-01,5.477477055746780149e-02,-2.573080511821003794e-02,-2.434866649098919311e-01,-1.040313554560269971e+00,3.258547033285673633e-01
4.400000000000000022e-01,6.515563064550677908e-02,-1.692840629180302967e-02,-2.978629326029830215e-01,-1.306625428912999931e+00,3.758726556692050247e-01
7.800000000000000266e-01,8.017158911473271088e-02,-1.418070864447801283e-02,-6.011564625418087254e-02,-1.211628068478374676e+00,3.790485669483291686e-01
9.699999999999999734e-01,9.652609130922769343e-02,2.659250890435403691e-02,3.373354109509152932e-01,-7.853848167336934250e-01,3.223127764085620961e-01
9.599999999999999645e-01,1.110619013017182938e-01,-9.894171439528507556e-03,5.463553404864035512e-01,-1.394865085787037329e-01,2.086174306769540132e-01
