Original Signal,Approximation,D 1,D 2,D 3,D 4
2.200000000000000011e-01,1.117854075083126286e+00,1.769440161926372490e-01,2.021866056573766168e-01,5.614871809704570227e-01,-6.462888388113479099e-01
5.799999999999999600e-01,1.090973883258119503e+00,-2.367844826516903589e-01,7.126993127503299108e-02,1.629349292909913482e-01,-6.636800076473022836e-01
9.100000000000000311e-01,1.054839328196707671e+00,-2.643583412067124772e-01,3.897846872021044212e-02,-2.283215646915195962e-01,-6.094509899791298313e-01
3.499999999999999778e-01,1.012199965924462708e+00,2.965536751645515001e-01,-3.108772579588868490e-02,-4.715093783683970141e-01,-4.863585614365792953e-01
8.000000000000000444e-01,9.660016333307233083e-01,2.215449760532733070e-01,-4.294166647965252936e-01,-5.056045391975735326e-01,-3.062192568088530353e-01
8.000000000000000444e-01,9.187348336151148764e-01,-3.115918415456915835e-01,-7.385527221030123712e-01,-3.534017570667253305e-01,-8.995526953853635876e-02
4.600000000000000200e-01,8.718718756427616956e-01,-1.517931894273904792e-01,-1.889731548434057662e-01,-1.090090228960926833e-01,1.352713763623227816e-01
3.499999999999999778e-01,8.258390617591969685e-01,2.527654085285213625e-01,7.449896921650969173e-01,1.086461746008661328e-01,3.438340796164420787e-01
-2.999999999999999889e-02,7.801588580079171775e-01,9.770274725339003763e-02,8.974689760997468513e-01,2.193607611338043994e-01,5.168829508401487915e-01
-4.500000000000000111e-01,7.338164234592778890e-01,-1.076838938701846354e-01,3.044760146068308804e-01,2.044861164242729179e-01,6.444191754467888389e-01
-1.090000000000000080e+00,6.858291977037102027e-01,-2.505527495254166181e-01,-2.793910280555532144e-01,1.122299812291168708e-01,7.252984863361213730e-01
-4.500000000000000111e-01,6.357516605908741791e-01,3.522592369174464833e-01,-5.654594522651364974e-01,1.845112459438850647e-02,7.629426086099693194e-01
-3.099999999999999978e-01,5.840937225551970924e-01,-1.049487065788385354e-01,-4.666689898022191030e-01,-2.231901194147283343e-02,7.622077330624057456e-01
-7.600000000000000089e-01,5.324690408120585916e-01,-1.131643448556619302e-01,-4.441430450461540669e-02,1.971092605383806262e-03,7.294849785693645616e-01
-7.600000000000000089e-01,4.832961989590374707e-01,1.328622053291224347e-01,2.436820549219750331e-01,5.178577026614673146e-02,6.715681367540333735e-01
3.499999999999999778e-01,4.392503613947550956e-01,-1.897014026828858224e-02,8.416571477370168863e-02,7.292810333842021653e-02,5.921898407965300315e-01
9.100000000000000311e-01,4.026039749281892233e-01,-7.466583432604011195e-02,-1.483229426132375572e-01,3.266401473418188706e-02,4.910167475849288032e-01
9.100000000000000311e-01,3.744076490344632191e-01,-9.874317838555446425e-02,1.003391737977185338e-01,-6.325891368585030705e-02,3.653055431456352364e-01
1.320000000000000062e+00,3.541458782802873739e-01,3.665909120649351594e-01,4.971142115746628454e-01,-1.642840218390657636e-01,2.120986351144940607e-01
1.219999999999999973e+00,3.399251661631995103e-01,-1.724533630356429870e-01,1.885692298926880950e-01,-2.139503234372075180e-01,3.302480573023969940e-02
1.020000000000000018e+00,3.288432288551053073e-01,-2.556961809214770009e-01,-5.068095608779873418e-01,-1.795752013372002853e-01,-1.633821278734349791e-01
1.000000000000000056e-01,3.178208296964313839e-01,1.319049014081060123e-01,-4.223646943925349340e-01,-7.682992362306133305e-02,-3.637044990587159909e-01
-9.200000000000000400e-01,3.044831398048299942e-01,3.045956552245878135e-01,2.754754871304655461e-01,3.218544520668584902e-02,-5.517170066106950044e-01
-1.459999999999999964e+00,2.876605232574864224e-01,-2.350676715832034080e-01,3.592437510875839402e-01,8.850729933360196311e-02,-7.102866495973680916e-01
-2.350000000000000089e+00,2.676394079082881627e-01,-1.590579884624116480e-01,-1.487771495990907744e-01,6.049598929363080024e-02,-8.234693823564172011e-01
-1.659999999999999920e+00,2.461474574069373034e-01,2.219722380058770372e-01,-1.843997526858791036e-01,-2.196122164195782323e-02,-8.792944228915084981e-01
-1.090000000000000080e+00,2.258394656540790579e-01,-3.888355610862936906e-02,2.087088295010966488e-01,-8.429025587815942855e-02,-8.716171501995936266e-01
-1.700000000000000122e-01,2.094630528062771113e-01,3.143172635293734613e-02,9.965228118166502558e-02,-7.168185765758353090e-02,-8.019162689296455149e-01
3.499999999999999778e-01,1.991378738141809657e-01,-1.167892619961709288e-01,-3.729564635570445374e-01,3.701968385669456713e-02,-6.791838915564379908e-01
6.899999999999999467e-01,1.956951167012505877e-01,4.924735899158640823e-02,-2.799454200022175598e-01,1.971937309794809523e-01,-5.167689922210830789e-01
4.600000000000000200e-01,1.984775306625956026e-01,8.659961681848948878e-02,2.590868525930087318e-01,3.261185025581771479e-01,-3.300212350417437990e-01
3.499999999999999778e-01,2.056840440437514850e-01,-2.292437137400977765e-01,3.511652459093643208e-01,3.697991187247182121e-01,-1.334776830283337379e-01
-1.700000000000000122e-01,2.149823532891477207e-01,2.851893438760628730e-01,7.563576533189480221e-03,3.039135485822921923e-01,6.045806697590012241e-02
-3.099999999999999978e-01,2.244120124557466844e-01,-1.404882024649011518e-01,-9.503103598684274622e-02,1.543539304521110433e-01,2.418182919315598201e-01
-1.090000000000000080e+00,2.329932454364313510e-01,3.250891643505136180e-02,3.324171070143768641e-02,-2.478793376523887731e-02,4.030283839516756172e-01
-1.459999999999999964e+00,2.410136477717793879e-01,-4.393586281500348745e-02,-3.330534738253304421e-03,-1.976473892504062302e-01,5.376645090899292434e-01
-1.090000000000000080e+00,2.500391807929814303e-01,4.083870743663688824e-02,-9.839061078194116794e-02,-3.347407126758490947e-01,6.390582607943303683e-01
-9.200000000000000400e-01,2.624225374422846091e-01,-6.818569136375603190e-02,-9.202545585228068259e-02,-4.227545073511475571e-01,6.985041288731197451e-01
-4.500000000000000111e-01,2.805686380114869594e-01,8.320456262470103670e-02,-1.119774954975075315e-01,-4.556600094821736113e-01,7.069999829016866411e-01
-1.270000000000000018e+00,3.061655459750605712e-01,-5.166270021684941233e-02,-3.442283620451737358e-02,-4.141547025391496550e-01,6.572888363916229437e-01
2.200000000000000011e-01,3.395639038117211905e-01,1.216763599249037903e-01,2.344663473800451536e-01,-2.913013958191220110e-01,5.459915881244086222e-01
2.200000000000000011e-01,3.793197472378127544e-01,-2.142268004924548497e-01,2.126426883491223385e-01,-8.630011683066901584e-02,3.767602299832322754e-01
-2.999999999999999889e-02,4.223286775528881098e-01,5.635227113864548637e-02,-2.259641886465233174e-01,1.821281463794433009e-01,1.610982411123675073e-01
4.600000000000000200e-01,4.644815084698958318e-01,1.700575017687906143e-01,-3.122894225465644436e-01,4.471002577583287896e-01,-8.122811682536837385e-02
1.000000000000000056e-01,5.013338673416830593e-01,-8.127837378113238198e-02,1.709975340136619393e-01,6.328496715897191649e-01,-3.223154204119438870e-01
5.799999999999999600e-01,5.289398458540003345e-01,-1.211973557396231471e-02,3.840826761749175922e-01,6.469692588785233012e-01,-5.275071435449566470e-01
-1.700000000000000122e-01,5.445218677838438159e-01,-3.356476305593208420e-01,6.005421458749712893e-02,4.256676881177552385e-01,-6.627984750369350087e-01
-1.700000000000000122e-01,5.467268323479950176e-01,6.842059738112068468e-01,-1.249131154308002201e-01,2.648099539451617690e-02,-7.029952200766084180e-01
-2.999999999999999889e-02,5.354939457629261934e-01,-4.346162914758364137e-01,1.348468991624788595e-02,-4.210196726423712787e-01,-6.362925502422228652e-01
2.200000000000000011e-01,5.116168649284456027e-01,-9.788443765764864857e-02,4.363851290494409098e-03,-7.156123491533951109e-01,-4.686189427134796470e-01
