Original Signal,Approximation,D 1,D 2
-1.949999999999999956e+00,-9.394506779787429318e-01,-1.778856080454618016e-01,4.787016295194053139e-01
-1.620000000000000107e+00,-1.480968747700387889e+00,2.368959104552022937e-02,1.529558902999870185e-01
-5.500000000000000444e-01,-1.683707204300194160e+00,-1.963695837692382845e-02,-3.041390849933409690e-01
-2.000000000000000042e-02,-1.492576000205460662e+00,7.959260867580969512e-02,-3.836981916632695166e-01
5.100000000000000089e-01,-9.529814979052886326e-01,-9.109151940930204638e-02,-1.093636525553638716e-01
7.800000000000000266e-01,-1.976105451616505249e-01,6.469233520809680726e-02,1.732126250046808202e-01
8.900000000000000133e-01,5.864060072185380834e-01,3.721852407887639436e-02,2.945932332867638448e-01
8.399999999999999689e-01,1.204618514042212318e+00,-2.034758832849325461e-01,2.624671252984830949e-01
5.699999999999999512e-01,1.500876009522098542e+00,2.371720637083450378e-01,2.085889618532054540e-02
2.700000000000000178e-01,1.398353374120283599e+00,-6.283666773663697247e-02,-3.727582776016545862e-01
-3.699999999999999956e-01,9.189282829972608146e-01,-6.482314312967811520e-02,-4.944232413001620197e-01
-1.060000000000000053e+00,1.828396640163242326e-01,1.959186610522546321e-02,-3.144949869169854501e-02
-1.620000000000000107e+00,-6.185168286575954966e-01,4.700813396311730868e-02,5.582036718851630663e-01
-1.350000000000000089e+00,-1.270198723588900291e+00,-5.096398772871429950e-02,5.082725042902844770e-01
-4.899999999999999911e-01,-1.590826818057418990e+00,5.737484936199762492e-02,-1.367737195547524542e-01
3.900000000000000133e-01,-1.487759605763894877e+00,-3.098371268257793174e-02,-5.464860683257446450e-01
7.800000000000000266e-01,-9.881678672294134103e-01,-9.958149877697214380e-02,-2.892516615441491079e-01
8.900000000000000133e-01,-2.335003075785263837e-01,1.701790885767333339e-01,1.861750203986205221e-01
8.800000000000000044e-01,5.596884850419155955e-01,-5.297871778605132975e-02,3.339946058621334757e-01
8.399999999999999689e-01,1.167430173769332225e+00,-8.756585804579143650e-02,1.520498200504223074e-01
5.600000000000000533e-01,1.422832446071369938e+00,6.021321276733128391e-02,-7.934493281439529422e-02
-1.199999999999999956e-01,1.264341209181617076e+00,5.617033282785269255e-02,-1.989112497726063522e-01
-9.799999999999999822e-01,7.485411793451943741e-01,-7.181900113978227640e-02,-1.670262065728197465e-01
-1.510000000000000009e+00,2.756238473974826492e-02,1.043464073724132378e-02,5.120767996666001493e-03
-1.620000000000000107e+00,-6.969115893656669947e-01,5.268958634988730669e-03,2.001881507858266074e-01
-1.560000000000000053e+00,-1.232195769741198932e+00,2.703696740103805896e-02,2.237884815050450449e-01
-9.599999999999999645e-01,-1.443854211663652132e+00,-8.965947887415811127e-03,-6.539868655020432539e-04
-1.100000000000000006e-01,-1.287553124822052419e+00,-8.543728927468791090e-02,-2.725768442563965555e-01
4.500000000000000111e-01,-8.155257974117232633e-01,1.816492226770989316e-01,-2.577301111724115690e-01
8.100000000000000533e-01,-1.595284759827921561e-01,-1.890234501641947229e-01,8.175713806720824595e-02
9.300000000000000488e-01,5.049939342492755223e-01,6.697245357664381726e-02,3.319821047650005075e-01
9.300000000000000488e-01,1.005059692278993611e+00,1.105991628105814639e-01,1.589936755175758165e-01
8.100000000000000533e-01,1.213450876935812106e+00,-1.678959947848030765e-01,-1.768822330833940970e-01
3.800000000000000044e-01,1.080206548625296969e+00,6.341982381457238194e-02,-2.179849819280999523e-01
-1.700000000000000122e-01,6.435794371168743755e-01,2.850582026210443654e-02,-7.113593415159998913e-03
-9.300000000000000488e-01,2.064147939853470254e-02,2.952622788677683723e-03,9.176494078485947226e-02
-1.389999999999999902e+00,-6.223933256863594110e-01,-3.078838571934539720e-02,3.803428776747358464e-02
-1.239999999999999991e+00,-1.111544763586444384e+00,-3.086486951694502462e-02,4.064158703594911853e-02
1.000000000000000021e-02,-1.309948047172474928e+00,6.060045232391130660e-02,6.299425081687015648e-02
4.500000000000000111e-01,-1.152765041690934300e+00,-8.831811795660612224e-03,-5.522781899933951189e-02
