Original Signal,Approximation,D 1,D 2,D 3
9.599999999999999645e-01,2.069137238335975182e-01,1.535593984972282583e-02,3.660365150573654525e-01,-1.789548927102922737e-01
4.600000000000000200e-01,2.242370113835916445e-01,-1.734441397222230910e-02,8.792712385969993216e-02,3.799182028541648326e-01
-1.799999999999999933e-01,2.404916603464142266e-01,3.422350072351425937e-02,-3.995232479160930050e-01,8.217443784679494545e-01
-8.399999999999999689e-01,2.498041619583340478e-01,-3.502012620634186585e-02,-4.534043443960268926e-01,1.024388210901964635e+00
-7.099999999999999645e-01,2.459193159976266752e-01,-2.896766559964454851e-03,5.638955303782338009e-03,9.313342683763418117e-01
-9.200000000000000400e-01,2.254108350063659116e-01,4.176487661032457499e-02,3.221965530882199280e-01,5.707432859719484552e-01
-9.200000000000000400e-01,1.868325592502597665e-01,3.256479679112438130e-02,1.497197111910526512e-01,4.809442137300961456e-02
-7.099999999999999645e-01,1.321382917519926259e-01,-1.686802159180003091e-01,8.295355335733525792e-02,-4.873356798428687964e-01
3.800000000000000044e-01,6.615969258141571330e-02,1.411359257486430319e-01,4.858308678724096441e-01,-8.875776909992615371e-01
1.169999999999999929e+00,-2.258819691863925110e-03,3.939292904713271454e-02,3.902567519717710653e-01,-1.054639764120451684e+00
1.590000000000000080e+00,-6.121083344948538563e-02,-1.110252404093298173e-01,-8.713649573081897470e-01,-9.598957139198550648e-01
1.469999999999999973e+00,-9.851305071517790779e-02,1.449846527512841342e-02,-1.669049278744433762e+00,-6.379839217291120024e-01
9.499999999999999556e-01,-1.020352156385556375e-01,4.033597885371845160e-02,-2.109965030712735445e-01,-1.614230823511134949e-01
1.400000000000000133e-01,-6.455163533035770951e-02,2.144869675375367032e-02,1.937983148408487732e+00,3.893278030949747226e-01
-5.200000000000000178e-01,1.808350567715050206e-02,-4.550862024422304419e-02,1.710136357805271068e+00,9.269163106662706708e-01
-5.200000000000000178e-01,1.411238621057440690e-01,6.472243679962165486e-03,-5.564811003583826077e-01,1.349544714276377011e+00
-4.400000000000000022e-01,2.952746356899589864e-01,-2.030812589759799919e-02,-1.667350935668996170e+00,1.530330934002131604e+00
