Original Signal,Approximation,D 1,D 2
0.000000000000000000e+00,1.347048537876180729e+00,3.929775754351915590e-02,-1.487080918688547804e-01
-7.399999999999999911e-01,8.147565938277779862e-01,-3.478306575647355930e-02,-1.572798097480705426e-01
-1.310000000000000053e+00,6.015828070503316527e-02,-1.416589264786703196e-02,-6.976753759076681494e-02
-1.600000000000000089e+00,-7.161745922548210519e-01,2.455266710061968990e-02,1.321794670733693888e-01
-1.510000000000000009e+00,-1.314478207934207221e+00,-8.332291770342663273e-03,2.653739514681229261e-01
-9.200000000000000400e-01,-1.584943514502082706e+00,1.467718333221365665e-03,1.030164118291872904e-01
-1.900000000000000022e-01,-1.464537091365603727e+00,-1.168082877223460166e-02,-2.398030497953388407e-01
4.400000000000000022e-01,-9.899206608256383433e-01,5.068096212953952101e-02,-3.293997267683017038e-01
7.800000000000000266e-01,-2.869169482677457195e-01,-8.346310094527166490e-02,3.903465109314603002e-03
9.699999999999999734e-01,4.623803672011502774e-01,1.945393745198948851e-02,3.387167844807368322e-01
9.599999999999999645e-01,1.066523926085714891e+00,1.137839187064437485e-01,2.271256830526783843e-01
8.199999999999999512e-01,1.374683397454569800e+00,-1.349850255005226873e-01,-1.355111592099063622e-01
4.000000000000000222e-01,1.313892722569876215e+00,1.673229713066063870e-02,-2.418823591635564929e-01
-2.000000000000000111e-01,9.079073148269514171e-01,4.362638719715007662e-02,-5.820416617827353645e-02
-8.900000000000000133e-01,2.703932814545883523e-01,2.268253025223924274e-02,6.470837051506268811e-02
-1.550000000000000044e+00,-4.242395266569997103e-01,-4.265377051311515511e-02,5.430227382147942428e-02
-1.510000000000000009e+00,-9.849611164261833363e-01,-3.528374449782748640e-02,8.401468413733161056e-02
-3.400000000000000244e-01,-1.255388188629619206e+00,4.206750615855595760e-02,8.929166843259021824e-02
2.899999999999999800e-01,-1.153965917431126975e+00,4.162496664861264906e-02,-7.334766242528376057e-02
8.299999999999999600e-01,-6.991723959027323909e-01,-3.022626751532305270e-02,-2.007348700007008935e-01
1.010000000000000009e+00,-6.785059768578694146e-03,-8.028493237074986466e-02,-4.107879049078459743e-02
1.050000000000000044e+00,7.387842037603303824e-01,9.116975505685538661e-02,2.056431831016309608e-01
1.139999999999999902e+00,1.334863550087491246e+00,9.918783979611003887e-03,1.712820981539502907e-01
7.800000000000000266e-01,1.621065247774799767e+00,-3.860693018293065437e-02,-1.027106597821113021e-01
2.899999999999999800e-01,1.526512365794067350e+00,-2.295911403915310359e-02,-2.488999341991935399e-01
-5.899999999999999689e-01,1.092079319781344759e+00,3.679470570524464440e-02,-8.321095604621694952e-02
-1.100000000000000089e+00,4.537565742933551416e-01,-1.748097896667623503e-03,2.003511502303394198e-01
-1.429999999999999938e+00,-2.005698620226518680e-01,4.197705181527091461e-03,2.666495879995340323e-01
-1.820000000000000062e+00,-6.908897572564423051e-01,-2.296345814479289205e-02,1.437645754088520168e-02
-1.149999999999999911e+00,-8.942487519138676566e-01,6.029652430705243968e-03,-2.735980408834710609e-01
-3.699999999999999956e-01,-7.741253910927917703e-01,9.137427542031012788e-04,-2.611235203477348943e-01
1.700000000000000122e-01,-3.792315841210095462e-01,2.481253491596997068e-02,5.415997833444561281e-03
3.499999999999999778e-01,1.763566334441963868e-01,-2.139552237821889039e-02,2.214146378037682716e-01
4.600000000000000200e-01,7.442265176436110297e-01,-2.280407249197204458e-02,2.615417847736197787e-01
5.000000000000000000e-01,1.172764506455585831e+00,3.967044228470335832e-02,1.685857568920967053e-01
3.599999999999999867e-01,1.337807307936593082e+00,-5.532443797201232714e-03,-8.104931431794390462e-02
-5.999999999999999778e-02,1.170917327211201231e+00,-1.552362736982468294e-02,-3.891168327213181954e-01
-6.600000000000000311e-01,6.838917781156053088e-01,-1.216144353698605206e-02,-3.860970323271790683e-01
-1.070000000000000062e+00,-2.113728466823266983e-02,3.779653483733393105e-02,5.821482097966747260e-02
-1.310000000000000053e+00,-7.660021279943721728e-01,-9.940750303510300159e-03,4.592787324444876362e-01
-1.389999999999999902e+00,-1.340760374666564392e+00,-2.132784387438754758e-02,3.352930119367444339e-01
-6.800000000000000488e-01,-1.571586011094139312e+00,-2.086515526577761501e-02,-8.360555510302733473e-02
-2.999999999999999889e-02,-1.386583739301061380e+00,6.192704903036162778e-02,-2.398288546358709472e-01
4.000000000000000222e-01,-8.511718819996357821e-01,1.792884778078061153e-02,-7.559054505776799382e-02
6.500000000000000222e-01,-1.501940477825742248e-01,-1.124181799500886397e-01,1.370728191669579391e-02
6.700000000000000400e-01,4.831515513490189928e-01,1.814209649835360483e-02,-1.117594658419588244e-01
5.899999999999999689e-01,8.611591578241046818e-01,1.695720653631679065e-01,-1.507456909167074754e-01
3.400000000000000244e-01,9.183985676570955992e-01,-1.867330046164414892e-01,8.718266801702440061e-02
-1.499999999999999944e-01,7.333600647076486956e-01,5.466047808393744573e-02,3.194984149912036830e-01
-8.900000000000000133e-01,4.831350927589943556e-01,8.249110942434335902e-03,1.983371341243533037e-01
-1.820000000000000062e+00,3.537424824865960105e-01,-2.927702182416810732e-03,-1.357204511303351235e-01
-2.220000000000000195e+00,4.469567760224070208e-01,3.773687453181655965e-02,-2.411394203307324902e-01
