Original Signal,Approximation,D 1,D 2
-1.250000000000000000e+00,-1.563404007033317278e+00,-6.995324830891401502e-03,3.672129417212331437e-01
-4.699999999999999734e-01,-1.782438984284816952e+00,-1.739136108588067511e-02,-1.868112874620865838e-01
1.400000000000000133e-01,-1.557738280707999134e+00,2.458697715109565973e-02,-3.487522534999638602e-01
6.199999999999999956e-01,-9.690727973879987855e-01,3.973970575926802362e-02,-7.544947380037272944e-02
8.800000000000000044e-01,-2.183971453050309874e-01,-7.279113957100585841e-02,8.480927202135764287e-02
8.900000000000000133e-01,4.483686422819757045e-01,-3.668739322698495037e-02,-6.067537104270249310e-02
8.000000000000000444e-01,8.398791724710852336e-01,1.577016537543685093e-01,-1.374802035616669305e-01
5.200000000000000178e-01,8.945451706117764079e-01,-1.075570867012713705e-01,8.356516147302904540e-02
5.000000000000000278e-02,6.985569958550923442e-01,-1.357293619035419320e-02,2.926171084030325664e-01
-7.700000000000000178e-01,4.355450323273450386e-01,2.098088415483666258e-02,1.492057221997107053e-01
-2.000000000000000000e+00,2.948648158384095663e-01,6.713544394117936312e-03,-1.630029926558770603e-01
-2.950000000000000178e+00,3.793856183592811404e-01,4.283434059267417215e-02,-2.149703468881715429e-01
-1.860000000000000098e+00,6.588867654017469544e-01,-5.975137665766745709e-02,5.423302281252722137e-03
-5.600000000000000533e-01,9.883732376981886336e-01,-1.717480945422896269e-02,1.055436280923227194e-01
1.600000000000000033e-01,1.179470310674316069e+00,1.480736792156759143e-02,-5.778732301773640417e-02
6.999999999999999556e-01,1.090648473076031744e+00,8.317664932359206120e-02,-1.633641882179062421e-01
9.399999999999999467e-01,6.909579360272339876e-01,-4.596802729619682559e-02,1.639854434769603964e-02
9.599999999999999645e-01,7.783281115645288017e-02,-1.167194449620496677e-01,2.446921268815476502e-01
9.100000000000000311e-01,-5.642260641790138864e-01,1.122502123468225865e-01,2.133947413341089894e-01
5.899999999999999689e-01,-1.030032276144531522e+00,7.731815376138841123e-02,-2.551311023705437817e-02
5.999999999999999778e-02,-1.170194786868954839e+00,-1.377930084704595826e-01,-2.229561258428502668e-01
-7.199999999999999734e-01,-9.357005266475503236e-01,6.598366544032478395e-03,-2.472337888020570140e-01
