rainfall,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,spi_48
26.37,-0.2541169610474895,-0.5512460662366476,-1.6708789442996719,-1.9685652570732424,0.2931085012403369,0.02852047047365575,-0.46825663251351124
94.92,0.42099390085356936,-0.0587976438966998,-1.0318695980676356,-2.2929050428932043,-0.7888021338379145,0.02852047047365575,-0.6450230190061143
284.77,1.2599706308745136,0.6492069651809144,-0.12915969764697444,-1.1231417268876656,-0.7453856123133026,-0.057073849697626945,-0.518456221409861
189.84,0.9118024899218041,0.9094172215904986,0.251454485876855,-0.6955288518648268,-1.602014895044062,-0.33181516144458,-0.7045789071141587
110.74,0.5205651382457229,0.9318840574341364,0.42047239279095344,-0.39678796077443884,-1.804453595672107,-0.6684545667409563,-0.8333180519364038
89.65,0.3853133250328232,0.6205671799081635,0.5509430938150427,-0.17846958364885068,-1.5033791303005855,-0.7081883775866722,-0.8506047781635762
31.64,-0.17149012435548175,0.2783012396549929,0.5587833190787451,-0.10057771551907277,-1.626969132569797,-0.6289110915223353,-0.7988435050698945
10.55,-0.6221698946388876,-0.03780435855588621,0.42892739593208756,-0.10057771551907277,-1.602014895044062,-0.6026450636925487,-0.7988435050698945
0.0,-inf,-0.5512460662366476,-0.10523269114813687,-0.11341301516285449,-1.6269217704758578,-0.6684545667409555,-0.8246932131349421
21.09,-0.35072277809731944,-0.6618394263560301,-0.553016189989632,-0.12632735004004103,-1.5278727877054867,-0.681694634729531,-0.8074641141312588
5.27,-0.8603297328313899,-0.7288881133712645,-0.95524612053391,-0.3545921034601061,-1.5525148106267848,-0.681694634729533,-0.7988598255043273
5.27,-0.8603297328313899,-0.661957521050951,-1.4694715976916024,-1.2181806139068911,-1.5525148106267848,-0.7348181915292844,-0.8247095725482229
21.09,-0.35072277809731944,-0.661957521050951,-1.5634825131352075,-1.9416109580271224,-1.5772599155010343,-0.7348181915292828,-0.841982540359638
168.75,0.8199960950775221,0.17590137635762557,-0.6964862710009386,-1.6653732018731529,-1.240226374438179,-1.285943944423694,-0.9026315114040429
158.2,0.7712644491381752,0.5402485956670213,-0.22938068918413304,-1.3784802135979008,-1.8303417947940623,-1.60623387562692,-1.3461944162352348
