Original Signal,Approximation,D 1,D 2,D 3,D 4
-3.599999999999999867e-01,-1.031670102529156779e-01,-3.863916408539853214e-02,1.372666570232219663e-01,2.341037902265121207e-01,-2.583485386314521293e-01
5.000000000000000278e-02,-8.740501448478572855e-02,4.066177935137280097e-01,-4.113659285545794714e-02,3.191629283379245896e-01,-1.334671731824562668e-01
5.000000000000000278e-02,-6.690184092346723732e-02,-6.069691561093373267e-01,-1.209900122316961979e-01,2.681632085666224574e-01,-6.610223235574725666e-03
-9.699999999999999734e-01,-4.269696561173489530e-02,2.624891593976067528e-01,3.361211170934074177e-01,1.248065687612195107e-01,1.062989183029446755e-01
-3.599999999999999867e-01,-1.573716272220808052e-02,1.942978643922184112e-01,3.572025572377807712e-01,-3.635693360594412574e-03,1.960087674364641153e-01
-6.099999999999999867e-01,1.393545307708535241e-02,-1.785414598788543361e-01,-2.967214194212620670e-01,-2.936129929698563443e-02,2.673242122512817232e-01
-3.599999999999999867e-01,4.660334731712809098e-02,-2.601206344080809751e-01,-3.441772696732379178e-01,2.213540253307891975e-02,3.203045304380138791e-01
3.800000000000000044e-01,8.198962817849388129e-02,3.218435102666669656e-01,1.802705223018810643e-01,1.006590139339165052e-01,3.474235921176434538e-01
-3.599999999999999867e-01,1.195953454797432924e-01,1.318463986036648439e-01,1.282635514949493349e-01,1.410298503882572718e-01,3.481110681298177356e-01
5.000000000000000278e-02,1.583476597551562448e-01,-2.094226644673757021e-01,-1.243650973591376857e-01,8.551124856934504137e-02,3.220364478196341973e-01
5.000000000000000278e-02,1.965370780258567096e-01,-2.607885315817720651e-01,6.207610827293288946e-02,-2.488280808327550039e-02,2.678502573678902543e-01
3.800000000000000044e-01,2.329437832644424000e-01,4.875098823629379075e-01,8.852813716329492599e-02,-1.353293568368266753e-01,1.970995236982303611e-01
-9.699999999999999734e-01,2.665816744446127817e-01,-3.007607245873706314e-01,-9.534062586420233298e-02,-1.972285033290250567e-01,1.195316711044288188e-01
