Original Signal,Approximation,D 1,D 2,D 3
-1.700000000000000122e-01,3.349523763350139016e-01,3.572517256285333981e-02,-3.957113816453156074e-01,6.843942591836501554e-01
-7.099999999999999645e-01,3.168631526412939992e-01,-1.024009681489935521e-02,-2.080395186140959196e-01,9.898970655593255508e-01
-8.299999999999999600e-01,2.990992900844119395e-01,3.380525658433707059e-02,1.535211966493504887e-01,1.005779368651531502e+00
-7.099999999999999645e-01,2.845013492983703429e-01,-6.847152266004352672e-02,2.055897774021694935e-01,7.349735971249923283e-01
-5.500000000000000444e-01,2.750411595556488953e-01,5.612174442163322952e-02,1.752728948570418943e-01,2.660123058812026708e-01
-2.700000000000000178e-01,2.712125472540024562e-01,-4.446999747532136976e-02,4.529028816327347884e-01,-2.602394474320079976e-01
4.500000000000000111e-01,2.744667905328178059e-01,8.674312020668992207e-02,3.642884673892162750e-01,-6.971999972978721871e-01
8.599999999999999867e-01,2.852272484719451939e-01,-1.235405127161432609e-01,-7.451541815171303096e-01,-9.325301552972112828e-01
1.139999999999999902e+00,3.018412424117868365e-01,8.648321330108503513e-02,-1.514364792553337447e+00,-9.119929841679175198e-01
1.100000000000000089e+00,3.210542927637834998e-01,-1.587549282772045961e-02,-2.327495200982545309e-01,-6.476623559904669536e-01
9.499999999999999556e-01,3.396781107175292913e-01,-1.009508416453238841e-02,1.760109563897026996e+00,-2.114588994161133439e-01
5.300000000000000266e-01,3.551563966642684589e-01,6.691078056740069717e-03,1.549033082154999130e+00,2.804457189883157175e-01
1.000000000000000056e-01,3.635037318813495455e-01,1.266177224282896783e-03,-6.227103641620033159e-01,6.932734041276782389e-01
-7.099999999999999645e-01,3.608573913713888359e-01,1.491788375211191295e-03,-1.641293136506404959e+00,9.082504366107576610e-01
-4.899999999999999911e-01,3.445797609936848693e-01,-2.926100207767353550e-02,-5.137104029097617763e-01,8.592899299468146346e-01
-6.199999999999999956e-01,3.146986765718084444e-01,4.144566555842294636e-02,5.915265734341790260e-01,5.579172779381593728e-01
-2.700000000000000178e-01,2.728828075409912013e-01,2.977153049707388990e-02,4.236365331510018040e-01,9.535714897845631866e-02
-8.999999999999999667e-02,2.224269732347525508e-01,-1.176112943681202477e-01,1.679204855116498696e-01,-3.875610768841493137e-01
5.300000000000000266e-01,1.693056804388524961e-01,6.368418905953311671e-02,4.460030403482517225e-01,-7.493263650215776783e-01
1.020000000000000018e+00,1.209902051999224154e-01,7.971800142099799702e-02,1.479926789229271955e-01,-8.944583612178403920e-01
1.260000000000000009e+00,8.623501617297678334e-02,-1.125355934151219678e-01,-8.815609203681689099e-01,-8.004273970396469373e-01
1.149999999999999911e+00,7.252211761736943041e-02,3.800886599402360233e-02,-9.587323544084881410e-01,-5.075596669263471306e-01
7.199999999999999734e-01,8.605377595785156097e-02,-1.354795579241853745e-02,4.218828021358601577e-01,-9.295513717215668492e-02
1.499999999999999944e-01,1.295517457742193512e-01,5.234634284674723886e-02,1.289710263742094520e+00,3.588609378655320814e-01
-4.299999999999999933e-01,2.017741791383421690e-01,-4.327495002414116776e-02,3.575875156728727244e-01,7.677293284447364030e-01
-2.000000000000000111e-01,2.973167235464000968e-01,7.485391606401340693e-03,-8.640591687621957950e-01,1.049647121551319229e+00
-1.700000000000000122e-01,4.059571273650603440e-01,-1.486897603801251924e-02,-6.645380910602817215e-01,1.115750633616351406e+00
-1.700000000000000122e-01,5.146590352255784317e-01,3.108653622428153920e-02,2.673195840710244631e-01,8.880394635019075444e-01
-1.010000000000000009e+00,6.069094350009857086e-01,-1.160220835156679751e-02,4.333843841641084604e-01,3.464862394821229818e-01
-8.299999999999999600e-01,6.673356146625281093e-01,1.317372852968294247e-02,-6.878980382357589851e-02,-4.218831033333583225e-01
0.000000000000000000e+00,6.812185195500751744e-01,-6.008102276627286242e-02,-2.359024209300734087e-01,-1.209052727011781236e+00
6.899999999999999467e-01,6.392276301528665439e-01,6.328232588531168545e-02,7.507295500360876284e-02,-1.734350988115402226e+00
1.090000000000000080e+00,5.363478960003112972e-01,1.999542157032052278e-02,2.818648083288570194e-01,-1.754225135546656489e+00
1.209999999999999964e+00,3.753480378243537197e-01,-6.441901015454098989e-02,1.286254916852168917e-01,-1.182001877527163014e+00
1.040000000000000036e+00,1.655543570561716638e-01,-1.692379179827424585e-02,-1.644033865090559765e-01,-1.577217778208195309e-01
6.099999999999999867e-01,-7.668951875672089247e-02,1.076390115357016980e-01,-3.186283429670679901e-01,9.835367303321786991e-01
1.199999999999999956e-01,-3.305087265545244013e-01,-7.267700724285371117e-02,-2.074677856299612655e-01,1.837657671418390537e+00
-4.899999999999999911e-01,-5.729154357994250546e-01,1.279029915262977490e-04,8.358859960221705354e-02,2.099833735613304331e+00
-3.400000000000000244e-01,-7.810101305316299314e-01,-1.612911761913294814e-02,3.035801232027072749e-01,1.691732992440482475e+00
