Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1.070000000000000062e+00,2.296986050962623871e-01,1.432050807568877593e-01,-1.927086878606003029e-01,6.208259176943703439e-03,8.744654037131960322e-02,2.317441605026271390e-01,3.539873099313017857e-02
1.400000000000000133e-01,2.277477154409488225e-01,2.134502712852710538e-01,3.896953230275490565e-02,-3.095449663762324111e-01,9.150111394922355590e-02,2.136232832601023535e-01,1.146285501710503363e-02
-2.600000000000000089e-01,2.325182888199925912e-01,-1.306698729810777948e-01,3.709165587219194760e-01,-5.130543637213824670e-01,6.218983511107928353e-02,1.433078483731088371e-01,-2.475236177450601538e-02
-9.100000000000000311e-01,2.418867852597751389e-01,3.687822173508931156e-02,5.756168300071905497e-01,-6.388559181366513240e-01,4.809272224530017348e-02,5.963679778154373778e-02,-5.384213229265602529e-02
-1.239999999999999991e+00,2.591391256846044544e-01,-8.640544456622772929e-02,4.708011545341357351e-01,-6.327730809895242281e-01,7.428331054149750479e-02,3.077292415553462002e-03,-7.787213452863014918e-02
-1.239999999999999991e+00,2.789594092045175611e-01,-1.419791281149712647e-01,1.972735925964086423e-01,-5.248939873746121254e-01,1.164235824413778486e-01,-2.231896630405549864e-02,-9.180554533041446197e-02
-9.100000000000000311e-01,2.962256290265134484e-01,-1.428941916244322874e-01,-2.952699152096546764e-03,-2.549621206105978088e-01,1.674467617377254081e-01,-2.301320662224398683e-02,-9.643679200698204723e-02
-4.600000000000000200e-01,3.091247549979553311e-01,-7.117785792574937709e-02,-2.090375893806010743e-01,1.883937590114407867e-01,2.251113004113335647e-01,-3.752794557335958903e-04,-9.320248547257749261e-02
3.400000000000000244e-01,3.140319987739064178e-01,-1.305079849446715290e-01,-4.064682374107819185e-01,6.347031721331201082e-01,2.853468654908847268e-01,4.838797518757506633e-02,-7.513776157191152938e-02
7.299999999999999822e-01,3.130985985917918990e-01,1.079903810567665740e-01,-4.736016308550938247e-01,9.586246097197079763e-01,2.909846334214237218e-01,1.087255031347685308e-01,-4.471821668955210105e-02
1.110000000000000098e+00,3.091632614752578556e-01,4.093266739736595161e-02,-4.542911502222790054e-01,1.020824859838629139e+00,2.308489286920819283e-01,1.603899855087770332e-01,-1.898845952231670298e-02
