Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-1.040000000000000036e+00,1.306298926279318012e-03,-1.450000000000000178e-01,-3.233448482783266020e-01,2.194993168751537826e-01,-7.310581222146647629e-02,9.008370977412985536e-02,-9.251252872442439212e-03,-8.977796550420941157e-03
-1.499999999999999944e-01,-1.089089838962893630e-03,-3.570143358907812425e-01,9.214101615137756940e-02,6.909549014915039589e-01,1.153256891679811380e-01,2.032835232262281133e-01,1.203017478143070251e-02,2.609235515867627808e-03
6.800000000000000488e-01,-2.980643591155355404e-03,-6.095027128527102933e-02,1.661461878606002585e-01,8.660805421724024900e-01,2.455563048314250985e-01,2.932973409066607084e-01,3.738054392808182191e-02,1.862390950566306103e-02
1.110000000000000098e+00,-3.377693922783885083e-03,1.420929214352104064e-01,-2.720760651535347185e-01,7.595975410582684884e-01,2.614591775087602432e-01,3.414716442165727783e-01,5.849813229774664114e-02,3.565620811572411952e-02
1.290000000000000036e+00,-1.270576912443241446e-03,1.219791281149712470e-01,-6.270775603659930475e-01,4.582899151225163781e-01,1.693726202903462486e-01,3.354429812272758937e-01,6.275823512463754583e-02,4.641970728958874637e-02
1.030000000000000027e+00,4.140247006612560871e-03,1.731393821528156574e-01,-4.152270393547344285e-01,1.616484924361658304e-01,1.438771662250054595e-02,2.832333303742980424e-01,4.999991527938615898e-02,4.982809157743191275e-02
5.500000000000000444e-01,1.088457252158467337e-02,1.153941916244323185e-01,2.632450054802454309e-02,-4.587183314545265067e-02,-1.295054434013331590e-01,2.194233943565072620e-01,2.688373861414275479e-02,4.685242880003456789e-02
-1.499999999999999944e-01,1.757583782466017736e-02,9.526279441628826561e-02,3.518119758452731838e-01,-2.883389549296450083e-01,-2.095312191493729492e-01,1.580824237549722788e-01,3.016678433619995880e-03,3.868178411127168315e-02
-7.299999999999999822e-01,2.279950926856294524e-02,-2.084936490538902287e-02,5.282963219315016667e-01,-5.357213502558729745e-01,-2.281539702467234587e-01,1.050417973925747983e-01,-1.759084356094647861e-02,2.953852970804697609e-02
-4.600000000000000200e-01,2.474594385134891786e-02,-3.012611604177263258e-01,5.536509048081480477e-01,-7.914700852600050629e-01,-2.008806030803908516e-01,7.207520106455633790e-02,-3.689910689585498837e-02,1.924793720319493973e-02
