Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-8.399999999999999689e-01,1.696950044814958258e-01,1.964101615137757439e-02,4.374982734773692483e-01,-8.580933144400071377e-01,-3.751760333975025508e-01,6.587509209718384051e-02,-4.242088255215208104e-02
-7.099999999999999645e-01,1.916631335835318473e-01,-2.679598902285044160e-01,4.759089360148539005e-01,-9.258030418803051553e-01,-2.879708863984297706e-01,2.963106988483538151e-02,-8.990770643691328723e-02
-9.200000000000000400e-01,2.094975426516470784e-01,4.382214207425072505e-02,3.460784467583257751e-01,-8.190079434830574989e-01,-1.464711898956890523e-01,8.883807757404743599e-03,-1.245315591713979236e-01
-9.200000000000000400e-01,2.171358618480417335e-01,-4.060417437700569732e-02,-5.261615179401293169e-03,-4.802894449772460161e-01,3.225065729241115287e-02,4.168036608155317735e-03,-1.463287713660489098e-01
-7.099999999999999645e-01,2.182602974022979092e-01,-9.093266739736605153e-02,-2.605207562299425295e-01,-2.349858956418870992e-02,2.412561570477868289e-01,5.404905934130679879e-02,-1.536721390936933440e-01
3.800000000000000044e-01,2.088733190068680357e-01,-3.197419225312594926e-01,-2.044037643056312858e-01,4.642881259719218168e-01,4.284883527420544347e-01,1.271523436746980484e-01,-1.474857129876276096e-01
1.169999999999999929e+00,1.935638789852960062e-01,2.192631645125642237e-02,-2.127547400785649856e-01,8.376199081557557102e-01,5.117740603136564648e-01,1.934591252873276157e-01,-1.405269486089251452e-01
1.590000000000000080e+00,1.767754279450174937e-01,1.538092551338933189e-01,-4.790579833729374237e-01,9.406341496690484583e-01,4.398825000691198306e-01,2.391792386369180068e-01,-1.419270654159998091e-01
1.469999999999999973e+00,1.613408109152373038e-01,2.182707793609598435e-01,-5.915679645537769149e-01,8.230436850144351446e-01,2.531777570009441924e-01,2.559677152485346219e-01,-1.495301261488670153e-01
9.499999999999999556e-01,1.489941985945864023e-01,1.860159698893431024e-01,-2.646461647295829667e-01,4.963124768689827215e-01,1.211253387544825033e-02,2.335045862981002252e-01,-1.705148501143518847e-01
1.400000000000000133e-01,1.420083690713490332e-01,1.356393821528156796e-01,2.293544903525772116e-01,4.170827652520658901e-02,-2.123063284397032069e-01,1.797379682434027126e-01,-2.119648483256876825e-01
-5.200000000000000178e-01,1.409493243136351881e-01,-2.468911086754460582e-02,5.803728187156940166e-01,-4.391647252739578899e-01,-3.630115980350036020e-01,1.017437840299741381e-01,-2.723364962950377555e-01
-5.200000000000000178e-01,1.467186166691329396e-01,-2.391201442663488108e-01,7.124016524143771401e-01,-8.616735378010852431e-01,-4.395813637821446296e-01,3.506766612456196919e-02,-3.384181677121268494e-01
