Original Signal,Approximation,D 1,D 2,D 3
-4.600000000000000200e-01,1.897509769237412658e-01,-1.002458642378500353e-01,-2.832828226431767238e-01,-4.202716817174009245e-01
3.400000000000000244e-01,1.875934714000225545e-01,1.169982545366630294e-01,-2.565917487348204906e-01,-9.048314891945438143e-01
7.299999999999999822e-01,1.816915021134695996e-01,-8.354192945015352645e-02,2.490280901779212963e-01,-1.147422490361466041e+00
1.110000000000000098e+00,1.710425669581386587e-01,4.179218943661746483e-02,7.778344858959429509e-01,-1.097345757430372437e+00
1.090000000000000080e+00,1.560187367720784202e-01,-5.639592707825524104e-02,3.747458445176296560e-01,-7.707685658823356656e-01
9.499999999999999556e-01,1.371648647579370439e-01,6.296264787488355108e-02,-7.164109001218367245e-01,-2.433071029718028577e-01
4.199999999999999845e-01,1.161202645303279074e-01,2.327059646381696850e-02,-1.010516250403841632e+00,3.600227201178486935e-01
-1.300000000000000044e-01,9.456730918273711928e-02,-7.754007831820050600e-02,-5.846032350078827350e-02,8.873126510087379071e-01
-7.299999999999999822e-01,7.579937079836467084e-02,1.972820564757589781e-02,8.216942976685197575e-01,1.192668449406650177e+00
-5.999999999999999778e-01,6.230693504166660152e-02,-4.158817604224947402e-03,6.441954287602486007e-01,1.177289267389345140e+00
-7.299999999999999822e-01,5.593004877224917737e-02,7.417437026491073560e-02,-3.461442219504984319e-02,8.297623954838048155e-01
-6.600000000000000311e-01,5.724519342333779515e-02,-1.270520287646346135e-02,-4.115042167491992364e-01,2.380219186492335548e-01
-4.600000000000000200e-01,6.628685800397390859e-02,-1.969314274621035976e-01,-4.108650214384571009e-01,-4.266595396377850791e-01
3.400000000000000244e-01,8.214198821215192015e-02,2.220682038258290081e-01,-1.512911063868842554e-01,-9.638176043172353991e-01
1.030000000000000027e+00,1.026407353289658653e-01,6.619530717193853990e-03,2.496680966479327413e-01,-1.212150234451295105e+00
1.320000000000000062e+00,1.248330297222547125e-01,-1.478202734896633397e-01,3.759125312259666840e-01,-1.102846475477595956e+00
1.189999999999999947e+00,1.456659338530817416e-01,5.449724830414454796e-02,3.581885997428767288e-02,-6.848889168618645940e-01
5.999999999999999778e-01,1.620846357408521621e-01,4.624762099331122117e-02,-2.646580398713838655e-01,-1.004867757579227805e-01
-1.700000000000000122e-01,1.720443752261348880e-01,-9.524878463736698858e-03,-1.275032332768575860e-01,4.679051508202201060e-01
-9.100000000000000311e-01,1.738355506747829293e-01,-3.893540144262554181e-02,9.785426571228468540e-02,8.600582285145015327e-01
-5.000000000000000000e-01,1.681713206840349528e-01,2.148744751522741608e-02,6.550659937326319682e-02,9.887965913379687111e-01
-4.600000000000000200e-01,1.559331661215374587e-01,7.072275042328282852e-04,1.183367110123120271e-02,8.538086959961861400e-01
-4.600000000000000200e-01,1.401260919770672131e-01,2.878969686456896854e-02,1.028841904128795920e-01,5.269023166042510198e-01
-1.040000000000000036e+00,1.230125197228391920e-01,-9.652690157663119941e-02,4.530771846582023338e-02,1.160618885145207752e-01
