Original Signal,Approximation,D 1,D 2,D 3
1.669999999999999929e+00,3.446612226831302084e-01,-1.054052879873569326e-01,-3.840978305471262066e-01,-3.923511887447044856e-03
-3.599999999999999867e-01,3.208256681666680765e-01,-4.326279463894914246e-01,-9.552768106749726096e-02,4.299514728465423374e-01
-2.999999999999999889e-02,2.768131065276864811e-01,1.504973148452037890e-01,8.881997033753190329e-02,6.958085507121327673e-01
1.320000000000000062e+00,2.121630060248061722e-01,2.006478781862496008e-01,1.798621535435769858e-01,7.188457579690952226e-01
-9.699999999999999734e-01,1.319174537738824482e-01,3.476673237755689705e-02,3.250813880408395251e-01,5.197359377320686091e-01
6.600000000000000311e-01,3.995029434120695583e-02,-3.356579791450858274e-01,2.150535772030991999e-01,1.966585989240972887e-01
3.800000000000000044e-01,-5.559408731932508063e-02,6.596870927878653590e-02,-3.158815767166410216e-01,-1.258664273220400642e-01
-3.599999999999999867e-01,-1.480884820145438041e-01,5.065330173632940358e-01,-6.084570896932216533e-01,-3.480531535614929117e-01
-9.699999999999999734e-01,-2.287205527349608081e-01,-7.648642261290075073e-01,-9.741647977186018714e-02,-4.269371785283148646e-01
1.669999999999999929e+00,-2.916194328438154737e-01,5.910456640931163186e-01,5.937982153456502488e-01,-3.823513098831518020e-01
3.800000000000000044e-01,-3.320813646833705168e-01,-2.815844109334446621e-01,4.980774908879315177e-01,-2.689137446176383395e-01
6.600000000000000311e-01,-3.475678416963574602e-01,1.052348003848262437e-01,-2.114440545388065196e-01,-1.457097321531497236e-01
5.000000000000000278e-02,-3.385543124716153263e-01,-7.719164959219881883e-02,-5.599569733128437754e-01,-4.759606651980397007e-02
1.120000000000000107e+00,-3.049875269699308111e-01,5.307649476529973515e-02,-2.125361109502205692e-01,2.571459639322339064e-02
3.800000000000000044e-01,-2.510108345884620173e-01,8.099661369494874988e-03,2.810196094216821927e-01,9.325211178817680024e-02
5.500000000000000444e-01,-1.779059110579428171e-01,-3.494545024268215505e-02,3.859955917903220013e-01,1.744903841620684959e-01
