sl.no.,rainfall,spi_1
451,26.37,0.66
452,15.82,0.05
453,15.82,0.05
454,5.27,-0.97
455,21.09,0.38
456,26.37,0.66
457,31.64,0.90
458,15.82,0.05
459,10.55,-0.36
460,15.82,0.05
461,5.27,-0.97
462,10.55,-0.36
463,21.09,0.38
464,10.55,-0.36
465,26.37,0.66
466,5.27,-0.97
467,10.55,-0.36
468,5.27,-0.97
469,5.27,-0.97
470,26.37,0.66
471,15.82,0.05
472,21.09,0.38
473,21.09,0.38
474,26.37,0.66
475,21.09,0.38
476,26.37,0.66
477,36.91,1.12
478,31.64,0.90
479,36.91,1.12
480,5.27,-0.97
481,15.82,0.05
482,21.09,0.38
483,26.37,0.66
484,31.44,0.89
485,14.94,-0.01
486,28.99,0.78
487,31.26,0.88
488,33.90,1.00
489,54.05,1.71
490,33.42,0.98
491,19.74,0.30
492,27.38,0.70
