Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
1.199999999999999956e+00,3.635206895247345416e-01,-8.507402885326976749e-01,3.174838913245534577e-01,-3.615193486298843295e-01,3.668132076181163104e-02,3.775761957010492775e-02,8.645619480546171132e-02,-3.569993934453216666e-02
-9.200000000000000400e-01,3.582853524574906579e-01,9.517996361906599923e-01,5.406769484023994377e-01,-5.787211517888071199e-01,2.352978895118257308e-02,-1.727379192301647937e-02,6.656049691187340689e-02,-3.975366012720041309e-02
-5.200000000000000178e-01,3.532704975741988163e-01,-5.366635220349680324e-01,2.038116136076673079e-01,-5.792966514372493991e-01,3.290640853457676984e-03,-5.224266217000023138e-02,4.940604515838381561e-02,-4.254041455898771584e-02
-3.099999999999999978e-01,3.499080382582612225e-01,-1.657097977044355019e-01,8.519870667976073286e-02,-5.979249984282660746e-01,-3.867196748235093851e-02,-7.988899091977380573e-02,3.570525670140164975e-02,-4.505705139143698079e-02
-3.099999999999999978e-01,3.463895929423759790e-01,8.910254037844386743e-02,2.688080758970063933e-01,-3.198187498035331977e-01,3.095566678892172630e-02,-5.035532640182258102e-02,3.016680726232651155e-02,-3.910608787962324695e-02
-8.000000000000000167e-02,3.439884575551301338e-01,-5.933012701892217966e-02,-1.924398816047910299e-01,1.154662074604219657e-01,1.444893918444914993e-01,-1.422570333830086575e-03,4.497252925719663619e-02,-2.763927538933572126e-02
2.600000000000000089e-01,3.408089275551067776e-01,-5.861215932167728598e-02,-4.467583009202429900e-01,3.576657128088670534e-01,1.987863593268423545e-01,6.384357578875454742e-02,5.684062420626348477e-02,-1.799465884710649277e-02
9.799999999999999822e-01,3.389678952255967825e-01,-1.398381119635937198e-01,-1.892675344948532290e-01,7.398673001524609383e-01,1.781143263251506181e-01,1.141786512211817595e-01,5.431957839771703322e-02,-1.156021793560832456e-02
1.540000000000000036e+00,3.408906738434598349e-01,1.986860279185587164e-02,-1.880167868886239435e-01,7.571024921517417461e-01,1.137154049458387606e-01,1.368949390401115185e-01,3.697392446970745872e-02,-1.001481905081169632e-02
1.850000000000000089e+00,3.458334114587340302e-01,1.000176038879050378e-01,-2.920311921724568771e-01,5.535795864982661074e-01,-3.724920564056946604e-02,1.120848675342110690e-01,1.031613947998777370e-03,-1.409639006121360394e-02
7.099999999999999645e-01,3.500135814459722217e-01,5.180607966083863314e-01,-3.095788552579663011e-01,4.107783914848502915e-01,-1.514994007250912988e-01,1.024026409629084644e-01,-3.900938062850697885e-02,-1.857879071175158603e-02
-8.000000000000000167e-02,3.528717022388669355e-01,1.315698604072057520e-02,-8.578044456622774261e-02,-6.090701975491279174e-02,-2.374550152375468626e-01,8.792079576698003107e-02,-7.105578148775065772e-02,-1.952773430083709627e-02
-6.800000000000000488e-01,3.537341258607888395e-01,-9.691342951089916558e-02,5.031605237513812057e-01,-3.896019025332984054e-01,-2.988808063617834354e-01,4.119096948124451041e-02,-9.422013046558525007e-02,-2.314731803368733076e-02
4.899999999999999911e-01,3.512180742678541745e-01,-6.218524478543748790e-01,9.153795781614442184e-01,-6.484609027478499543e-01,-3.295615415966337558e-01,2.694939488077641165e-04,-1.261407692559170235e-01,-2.744579328702698162e-02
4.899999999999999911e-01,3.483004551935318105e-01,2.375961894323341816e-01,5.404241351669506477e-01,-8.734522482085083084e-01,-2.987306724947472181e-01,-2.847178325462215720e-02,-1.541299750866230445e-01,-3.036788456424927007e-02
-4.099999999999999756e-01,3.467689420354402308e-01,4.144181464584469898e-01,-3.776513595698228754e-01,-7.282731089209620867e-01,-1.739705381265427564e-01,-4.171403491341524328e-02,-1.688584360290102948e-01,-3.193461964234461936e-02
2.000000000000000111e-01,3.441049255685930675e-01,-4.333188740771268255e-01,-6.717646287353353785e-01,-3.623736328792219186e-01,-4.093405548062839516e-02,-1.448397023737274525e-02,-1.680450075344910865e-01,-2.662347856033420168e-02
-4.099999999999999756e-01,3.400412453889972708e-01,2.784631582256281712e-01,-6.172309314443315265e-02,1.476112218668895193e-01,1.244820458755404591e-01,6.803390245126550440e-02,-1.522469986032226885e-01,-1.604451292687797404e-02
-4.099999999999999756e-01,3.383949237375078467e-01,-9.668112592287309015e-02,2.000572126356910951e-01,6.277461962826407227e-01,2.498373835868588078e-01,1.350652786547616446e-01,-1.304665748501877276e-01,-6.740759626375686375e-03
