Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-3.599999999999999867e-01,7.050288218362422976e-02,-2.733540818529368588e-01,2.374021997001211082e-01,-2.195555710009555739e-01,1.884624011946111899e-01,-6.163917493690695970e-02,5.276653822327757870e-02,-1.160196004415491172e-01
3.200000000000000067e-01,6.898853620465139613e-02,-5.215862003928251056e-02,-6.546150109604897960e-02,2.993182641634192231e-01,3.058927948809445074e-01,1.323211684979733876e-03,7.693580724023228734e-02,-1.054637369302359323e-01
7.500000000000000000e-01,7.044037757125699850e-02,8.537658773652739841e-02,-5.464842304311421373e-01,7.380537268585709576e-01,3.466437843248969530e-01,5.217322518837997497e-02,8.799230724018089478e-02,-9.807149686467224459e-02
1.060000000000000053e+00,7.275422639132880787e-02,6.385734985006052966e-02,-7.228471604900660319e-01,1.021737262317672812e+00,2.802491796181749151e-01,7.766409853273803510e-02,8.806006047876155374e-02,-9.279370422837640575e-02
1.110000000000000098e+00,7.483831545610827862e-02,9.977241335952158341e-02,-4.449534004962912848e-01,1.149033672955156682e+00,1.331052970142667935e-01,6.385335849268911068e-02,7.262983891318086638e-02,-9.254187815737882628e-02
1.080000000000000071e+00,7.500436767111347269e-02,5.111215932167723075e-02,-7.769430570778457223e-02,9.772345763028188470e-01,-8.465223871980669113e-02,1.632683177266799901e-02,4.255095399108202447e-02,-1.010336382074419892e-01
7.600000000000000089e-01,7.317788766270930112e-02,1.063573498500605119e-01,1.634859106917385119e-01,5.242423657274257742e-01,-3.725905400342846008e-01,-7.005360874076452249e-02,1.979748525687856017e-03,-1.158876095439280163e-01
2.600000000000000089e-01,6.971382207857068636e-02,8.800798494467154676e-02,2.734991136076672658e-01,-6.768528020108149912e-02,-6.353241695548701440e-01,-1.573754963309933474e-01,-3.883366945906408657e-02,-1.334424804671067721e-01
-3.400000000000000244e-01,6.503037647991841141e-02,5.062177826491072452e-02,3.138893358907809961e-01,-6.496705492295877793e-01,-8.142076422386583801e-01,-2.103833037403853301e-01,-6.670542855687629225e-02,-1.474623214383207759e-01
-1.149999999999999911e+00,5.920672972136210160e-02,8.086696879329399734e-02,3.403172169475475739e-01,-9.688237586133013890e-01,-8.475208534988079023e-01,-2.110455766918989118e-01,-7.674662104731139189e-02,-1.536643257783086303e-01
-1.600000000000000089e+00,5.281081524802648530e-02,-1.037259526419163080e-01,3.432358875607213755e-01,-9.493161031743775347e-01,-7.162986476734171104e-01,-1.536237083237657897e-01,-6.382315987274586599e-02,-1.509957188877350531e-01
-1.219999999999999973e+00,4.687770280863386152e-02,-3.163925576258705963e-01,3.307779704373676744e-01,-6.739254464248528587e-01,-4.528207255544774990e-01,-6.065046050515145171e-02,-3.721554468905451107e-02,-1.422475144615357734e-01
-5.200000000000000178e-01,4.294184932868957971e-02,-1.852323035880260038e-01,1.757876356426354980e-01,-2.286437793067050417e-01,-1.436690059016756393e-01,4.164994147232126132e-02,-7.857481598262751332e-03,-1.308447939467949073e-01
2.200000000000000011e-01,4.228891697761297253e-02,-4.294228634059954475e-02,-2.625796491262298860e-01,2.452003598800050199e-01,1.343413779821439336e-01,1.334389369765939248e-01,1.398135537400168119e-02,-1.191241256837873574e-01
6.400000000000000133e-01,4.391010177475804244e-02,1.056217782649106901e-01,-6.809409220555746600e-01,6.441255799063539955e-01,3.510644891976842930e-01,2.091039193438976040e-01,2.345491558887879274e-02,-1.082147789682558758e-01
1.100000000000000089e+00,4.611122468826805987e-02,1.562177826491067956e-02,-6.885843429427603857e-01,9.304347165494080141e-01,4.773856215744363696e-01,2.580335611413788199e-01,2.607741633120145772e-02,-9.956119031974278166e-02
1.320000000000000062e+00,4.740186917585484383e-02,7.830127018922194981e-02,-3.667166496742544357e-01,9.887494632974309638e-01,5.138935944902444097e-01,2.676136538118820130e-01,2.117160981348809035e-02,-9.499241504927211088e-02
1.260000000000000009e+00,4.718308682933761156e-02,1.175833024919770153e-01,-5.343309902802382411e-02,7.512091464403618524e-01,4.475101425233570795e-01,2.307681931484027449e-01,4.449720159154976415e-03,-9.683255126750453523e-02
1.060000000000000053e+00,4.539205873174588513e-02,7.343266739736598048e-02,1.244534698893430547e-01,2.642040730379625613e-01,2.930830409057805785e-01,1.430208023523933392e-01,-2.315429946026698396e-02,-1.048453496790776596e-01
5.600000000000000533e-01,4.201062825341853046e-02,1.152627944162882834e-01,2.541705974562897263e-01,-3.591384379329396470e-01,9.211322946470064388e-02,3.553512305071968025e-02,-4.963843753519558283e-02,-1.152227036253977710e-01
1.199999999999999956e-01,3.686350283102861336e-02,6.961524227066306914e-03,3.452050344948530691e-01,-8.809177407945594229e-01,-8.183176724968715954e-02,-6.030829798914236206e-02,-6.517804012216102394e-02,-1.217788257785651640e-01
-6.999999999999999556e-01,3.037742249857721885e-02,1.242820323027550578e-01,3.630607966083862492e-01,-1.128705790719589652e+00,-1.449009698641339494e-01,-1.231275581137233344e-01,-6.457506137954688308e-02,-1.208056789097100847e-01
-1.350000000000000089e+00,2.357082813294474402e-02,-2.328366630131684101e-02,3.315672169475476494e-01,-1.050608962571024430e+00,-8.091174180408854111e-02,-1.360137594405009254e-01,-4.210872353131456247e-02,-1.126325010871162269e-01
-9.899999999999999911e-01,1.790846551097809505e-02,-3.604774941164093915e-01,3.325243633336550930e-01,-7.173842826723977328e-01,7.116700483727493587e-02,-1.226648881218553866e-01,-8.307842990731346966e-03,-9.938986182482917320e-02
-5.899999999999999689e-01,1.425045874058572873e-02,-1.060816684934150489e-01,2.569222314548517128e-01,-2.637756476424532037e-01,2.373679921970219542e-01,-1.002856747505358054e-01,2.549392521294215064e-02,-8.296957166118577864e-02
3.300000000000000155e-01,1.311397163932425010e-02,-1.812435565298213813e-01,-1.371509973322168341e-01,2.255520158307836587e-01,3.645771545538643577e-01,-7.802883785156108920e-02,5.159542407108601292e-02,-6.627819186835881560e-02
9.100000000000000311e-01,1.434484447504551057e-02,6.852885682970022430e-02,-5.768219570261127194e-01,6.374261525694682184e-01,4.240353474608107298e-01,-6.465836955176326728e-02,6.716575466419995311e-02,-5.238772924751593923e-02
1.209999999999999964e+00,1.670504507891397775e-02,1.267339375865879636e-01,-6.939072557542576014e-01,9.566472899570134247e-01,4.093902448951520223e-01,-6.685920669082404122e-02,7.227414568747890511e-02,-4.222263419492705561e-02
1.149999999999999911e+00,1.937152386127838355e-02,1.485640646055101932e-01,-5.209790355909023063e-01,1.077092934854138262e+00,3.197915228531005294e-01,-8.887736206077385959e-02,6.567118799799157025e-02,-3.650735325275700910e-02
1.120000000000000107e+00,2.109077698353176850e-02,2.269709581221612815e-02,-1.307832346706592486e-01,8.837893351049139756e-01,1.403537656317818683e-01,-1.448502392335025424e-01,4.643930524254601122e-02,-3.754516096536342218e-02
9.799999999999999822e-01,2.135409915132392006e-02,3.482050807568881634e-02,2.509947126356911196e-01,4.524837227535928319e-01,-1.040829739546571403e-01,-2.380960540322511754e-01,1.500398802203866538e-02,-4.742920337336638259e-02
4.000000000000000222e-01,2.052418213400571123e-02,1.603284930203603409e-01,3.562394715334165629e-01,-1.797999406007227963e-01,-3.614231334485510927e-01,-3.352735864111045516e-01,-1.829470175634521217e-02,-6.151544318834131775e-02
-3.699999999999999956e-01,1.881762418062846165e-02,1.051490010960490773e-01,2.857583240512603373e-01,-7.576839958922831908e-01,-5.498937720087317960e-01,-4.068395124162825782e-01,-4.640815877810119255e-02,-7.682026705739682104e-02
-1.600000000000000089e+00,1.626131698841658604e-02,1.744791281149712936e-01,2.914971173714993591e-01,-1.048233297776774986e+00,-6.020697013861870950e-01,-4.298451013097067119e-01,-5.462609322161456060e-02,-8.677424380451019548e-02
