Original Signal,Approximation,D 1,D 2,D 3,D 4
2.300000000000000100e-01,6.431211643700740499e-01,-2.380009486788784989e-01,3.942578145364957209e-01,8.742435771296596103e-01,2.302047694101989894e-01
-4.699999999999999734e-01,6.522763853471968964e-01,2.061280172038100766e-01,4.106747501266514444e-01,6.473569393084287471e-01,3.178849972566483162e-01
5.899999999999999689e-01,6.637930736610899718e-01,-3.220839101097115742e-02,8.050819167323131076e-02,2.258969607745646979e-01,3.689026219804567019e-01
5.899999999999999689e-01,6.788754807178175588e-01,-1.085049795837043640e-01,-2.742912709721977982e-01,-1.975946630155962780e-01,3.786822167097602110e-01
-8.599999999999999867e-01,6.976247216712665455e-01,1.781216116408720074e-01,-4.267062602988878628e-01,-5.187611135271156249e-01,3.511140489894579164e-01
1.100000000000000006e-01,7.189165947313294058e-01,2.429756743137893860e-02,-3.394500774654680697e-01,-6.771123752518186656e-01,2.911722080103750221e-01
-6.199999999999999956e-01,7.407770683756924601e-01,-3.881582073806917332e-01,6.923043790979266365e-02,-6.173043395196240457e-01,2.021859500730933401e-01
-2.999999999999999889e-02,7.611374380848571208e-01,3.117127195217600510e-01,4.806529128142766338e-01,-3.467123120935582392e-01,9.159378820768838969e-02
9.799999999999999822e-01,7.793147346269637676e-01,-1.565729155506124515e-01,2.471455422050641559e-01,8.924160049869631073e-02,-2.380314487703225068e-02
9.799999999999999822e-01,7.958373070632970281e-01,4.384255641133308345e-01,-3.006386941031750082e-01,5.563731260600944806e-01,-1.223593039472475469e-01
1.330000000000000071e+00,8.112739807221792665e-01,-3.600600391776571096e-01,-2.909813057539823444e-01,8.187208670511850750e-01,-1.842236870283471828e-01
9.100000000000000311e-01,8.261220750297103566e-01,-3.483666188771446515e-01,1.364694250244917195e-01,7.246261566421793310e-01,-1.998247871389330632e-01
4.600000000000000200e-01,8.404040955141529601e-01,7.380018930056233550e-01,3.610669877925452576e-01,2.908750138377107497e-01,-1.743587415686888298e-01
1.030000000000000027e+00,8.537477366232453235e-01,-5.653526156892342280e-01,2.546370137367072739e-01,-3.077905598111034813e-01,-1.222697914514681017e-01
-6.199999999999999956e-01,8.664026308929545506e-01,2.292451622038358394e-01,-6.797955954554092510e-03,-7.738841051865444909e-01,-6.051353799997147981e-02
-4.699999999999999734e-01,8.785343746487285221e-01,1.235116062546470356e-01,-2.056737561297300731e-01,-9.092063721925011111e-01,-3.749983148629202397e-03
