Original Signal,Approximation,D 1,D 2
-1.090000000000000080e+00,3.813992266143134136e-01,6.755076302840378188e-01,2.521660047521811499e-01
-4.500000000000000111e-01,1.986668376904990874e-01,-4.335740465180065728e-01,-3.510029026745251635e-01
-5.999999999999999778e-01,3.690547708780500535e-01,-9.092699057446769484e-02,-5.496819920902659140e-01
-9.200000000000000400e-01,7.952111586805756804e-01,2.764071988978953898e-01,-3.286839479990636415e-01
-4.500000000000000111e-01,1.247458921035359936e+00,-1.914618616491332304e-01,1.157522414314400977e-01
-4.500000000000000111e-01,1.471276480018726351e+00,2.279253766085396204e-01,3.617462670806906866e-01
-1.700000000000000122e-01,1.302290332409243412e+00,-3.054905151170455024e-01,1.143832901310481154e-01
-4.500000000000000111e-01,7.341210647483966678e-01,1.832210060287679243e-01,-1.854495575690317810e-01
4.699999999999999734e-01,-8.772946551506718982e-02,-1.735173855521169456e-02,4.969604303661154937e-02
5.799999999999999600e-01,-9.430545447386232683e-01,-1.913083380167194050e-02,3.987807007813820026e-01
3.499999999999999778e-01,-1.632166421611751961e+00,5.795435982961754523e-02,5.493357402471670675e-02
2.200000000000000011e-01,-2.045795412068711627e+00,-1.113229182835344666e-01,-5.755939602089348295e-01
3.499999999999999778e-01,-2.181656132371970092e+00,-4.512531788312024172e-02,-4.196972393879627172e-01
9.100000000000000311e-01,-2.105377735773907855e+00,2.472189993429355637e-01,3.071917088375187843e-01
1.000000000000000056e-01,-1.896755318500175758e+00,-7.449782710805920305e-02,4.364491896732826670e-01
-3.099999999999999978e-01,-1.607946072849107733e+00,-3.557396625001250090e-01,-5.514843693198873131e-02
-5.999999999999999778e-01,-1.254215893747890442e+00,4.570456046719172938e-01,-1.524796611144663139e-01
-3.099999999999999978e-01,-8.429591333951118592e-01,-1.835136108224351970e-01,1.962307732320165421e-01
4.600000000000000200e-01,-3.963685703687618855e-01,5.912460859253571011e-02,1.134732276064778361e-01
9.100000000000000311e-01,2.954675926948861775e-02,-2.105681905935823939e-01,-3.583454143997618635e-01
1.219999999999999973e+00,3.656248584757095244e-01,1.887213104241819428e-01,-3.283927005198547522e-01
1.510000000000000009e+00,5.611510847681361325e-01,1.558960328690427721e-01,1.983298541153216688e-01
2.049999999999999822e+00,6.130535707475947005e-01,-4.215062070527698102e-01,3.694609315732786392e-01
2.220000000000000195e+00,5.713726587975004323e-01,3.657222735297672722e-01,4.479521688005572849e-02
1.510000000000000009e+00,5.136062428550003389e-01,-1.929281738837969329e-01,-1.587365691142884616e-01
4.600000000000000200e-01,5.047551961832187351e-01,7.089693994819533385e-02,-5.540731662144285363e-02
5.799999999999999600e-01,5.647289779726007986e-01,5.515611088564666836e-02,2.667123570764267856e-02
3.499999999999999778e-01,6.593142114883452365e-01,-1.404969422365356657e-01,-3.293569833824817189e-02
1.000000000000000056e-01,7.213741413368345290e-01,8.965130429782021404e-02,-1.048506105451944420e-01
-5.999999999999999778e-01,6.875444437946959253e-01,-4.804193226423936203e-02,-8.206550912295390576e-02
-1.270000000000000018e+00,5.295108419262765098e-01,1.669656878521326437e-01,1.072440151241564749e-01
-1.090000000000000080e+00,2.649015894666629234e-01,-2.084454589744313135e-01,3.149810222539273230e-01
-1.649999999999999911e+00,-5.435174642296658476e-02,-3.808255618290361244e-02,1.642111864175115066e-01
-7.600000000000000089e-01,-3.660464185856054931e-01,2.564134577675576954e-01,-2.825640514104933443e-01
-1.090000000000000080e+00,-6.155513833419585801e-01,-1.306480408064020771e-01,-3.926836440613822310e-01
-9.200000000000000400e-01,-7.634171324798334490e-01,-1.423250519196353654e-02,2.362591431597098161e-03
-3.099999999999999978e-01,-7.785996550110818593e-01,-1.762456500789968961e-01,2.629449842648272084e-01
-3.099999999999999978e-01,-6.352184663028812572e-01,3.670998000391454408e-01,7.247473710305644967e-02
